date,transit_stations_percent_change_from_baseline
2020-02-29,3.1333333333333333
2020-03-31,-40.61290322580645
2020-04-30,-67.3
2020-05-31,-60.12903225806452
2020-06-30,-52.333333333333336
2020-07-31,-49.67741935483871
2020-08-31,-48.774193548387096
2020-09-30,-51.03333333333333
2020-10-31,-51.74193548387097
2020-11-30,-57.233333333333334
2020-12-31,-58.83870967741935
2021-01-31,-60.193548387096776
2021-02-28,-58.57142857142857
2021-03-31,-52.0
2021-04-30,-46.06666666666667
2021-05-31,-39.903225806451616
2021-06-30,-33.833333333333336
2021-07-31,-28.29032258064516
2021-08-31,-28.419354838709676
2021-09-30,-32.233333333333334
2021-10-31,-32.774193548387096
2021-11-30,-36.03333333333333
2021-12-31,-39.0
2022-01-31,-46.16129032258065
2022-02-28,-41.535714285714285
2022-03-31,-38.16129032258065
2022-04-30,-32.56666666666667
2022-05-31,-29.483870967741936
2022-06-30,-28.9
