date,rail,bus,transit_agency
1/1/2020,129411.7647,127692.3077,257104.0724
1/2/2020,186956.5217,192727.2727,379683.7945
1/3/2020,144444.4444,147058.8235,291503.268
1/4/2020,625000,405000,1030000
1/5/2020,661538.4615,370731.7073,1032270.169
1/6/2020,628571.4286,396969.697,1025541.126
1/7/2020,627272.7273,391666.6667,1018939.394
1/8/2020,672727.2727,405555.5556,1078282.828
1/9/2020,227777.7778,211764.7059,439542.4837
1/10/2020,163157.8947,160784.3137,323942.2085
1/11/2020,672727.2727,417647.0588,1090374.332
1/12/2020,658333.3333,388396,1046729.333
1/13/2020,661538.4615,317997,979535.4615
1/14/2020,669230.7692,405405.4054,1074636.175
1/15/2020,576923.0769,365000,941923.0769
1/16/2020,200000,161290.3226,361290.3226
1/17/2020,161111.1111,147058.8235,308169.9346
1/18/2020,256250,187037.037,443287.037
1/19/2020,622222.2222,406060.6061,1028282.828
1/20/2020,542857.1429,239024.3902,781881.5331
1/21/2020,680000,416666.6667,1096666.667
1/22/2020,675000,400000,1075000
1/23/2020,250000,194339.6226,444339.6226
1/24/2020,177777.7778,148076.9231,325854.7009
1/25/2020,625000,394594.5946,1019594.595
1/26/2020,672727.2727,397142.8571,1069870.13
1/27/2020,666666.6667,427027.027,1093693.694
1/28/2020,650000,418181.8182,1068181.818
1/29/2020,615384.6154,414705.8824,1030090.498
1/30/2020,223809.5238,208163.2653,431972.7891
1/31/2020,158823.5294,159259.2593,318082.7887
2/1/2020,611111.1111,427272.7273,1038383.838
2/2/2020,660000,425000,1085000
2/3/2020,675000,413157.8947,1088157.895
2/4/2020,646153.8462,392307.6923,1038461.538
2/5/2020,614285.7143,380000,994285.7143
2/6/2020,231818.1818,203636.3636,435454.5455
2/7/2020,155555.5556,155555.5556,311111.1111
2/8/2020,641666.6667,392105.2632,1033771.93
2/9/2020,691666.6667,412820.5128,1104487.179
2/10/2020,646153.8462,426315.7895,1072469.636
2/11/2020,681818.1818,388888.8889,1070707.071
2/12/2020,592857.1429,386046.5116,978903.6545
2/13/2020,226315.7895,192105.2632,418421.0526
2/14/2020,176190.4762,157142.8571,333333.3333
2/15/2020,231818.1818,190909.0909,422727.2727
2/16/2020,231428.5714,393548.3871,624976.9585
2/17/2020,646153.8462,464285.7143,1110439.56
2/18/2020,628571.4286,400000,1028571.429
2/19/2020,576923.0769,360000,936923.0769
2/20/2020,235000,208888.8889,443888.8889
2/21/2020,170000,156250,326250
2/22/2020,608333.3333,424137.931,1032471.264
2/23/2020,653846.1538,416216.2162,1070062.37
2/24/2020,642857.1429,422500,1065357.143
2/25/2020,669230.7692,402439.0244,1071669.794
2/26/2020,593333.3333,405000,998333.3333
2/27/2020,217391.3043,196363.6364,413754.9407
2/28/2020,161111.1111,157777.7778,318888.8889
2/29/2020,607692.3077,444444.4444,1052136.752
3/1/2020,661538.4615,416216.2162,1077754.678
3/2/2020,700000,431707.3171,1131707.317
3/3/2020,669230.7692,425641.0256,1094871.795
3/4/2020,586666.6667,390697.6744,977364.3411
3/5/2020,224000,203703.7037,427703.7037
3/6/2020,172727.2727,157407.4074,330134.6801
3/7/2020,592857.1429,407894.7368,1000751.88
3/8/2020,600000,400000,1000000
3/9/2020,587500,395454.5455,982954.5455
3/10/2020,500000,370212.766,870212.766
3/11/2020,365384.6154,339622.6415,705007.2569
3/12/2020,103389.8305,166666.6667,270056.4972
3/13/2020,64179.10448,127142.8571,191321.9616
3/14/2020,195454.5455,181521.7391,376976.2846
3/15/2020,139682.5397,156310.6796,295993.2193
3/16/2020,110344.8276,109375,219719.8276
3/17/2020,95555.55556,113432.8358,208988.3914
3/18/2020,84821.42857,112820.5128,197641.9414
3/19/2020,30769.23077,62189.05473,92958.2855
3/20/2020,22857.14286,31879.19463,54736.33749
3/21/2020,60958.90411,81220.65728,142179.5614
3/22/2020,60389.61039,86500,146889.6104
3/23/2020,53086.41975,80423.28042,133509.7002
3/24/2020,50000,86500,136500
3/25/2020,49065.42056,93034.82587,142100.2464
3/26/2020,19230.76923,38053.09735,57283.86658
3/27/2020,16182.57261,29927.0073,46109.57991
3/28/2020,16357.50422,87745.09804,104102.6023
3/29/2020,45991.56118,78750,124741.5612
3/30/2020,41552.51142,82914.57286,124467.0843
3/31/2020,42083.33333,80357.14286,122440.4762
4/1/2020,40684.41065,92227.97927,132912.3899
4/2/2020,17871.48594,41587.30159,59458.78753
4/3/2020,14190.68736,32659.93266,46850.62002
4/4/2020,37454.54545,86175.11521,123629.6607
4/5/2020,36177.4744,77366.25514,113543.7295
4/6/2020,36454.8495,80408.16327,116863.0128
4/7/2020,35430.46358,77419.35484,112849.8184
4/8/2020,34666.66667,76724.13793,111390.8046
4/9/2020,16452.99145,38416.42229,54869.41374
4/10/2020,11428.57143,30722.89157,42151.46299
4/11/2020,30094.04389,73387.09677,103481.1407
4/12/2020,35438.59649,82300.88496,117739.4814
4/13/2020,35125.44803,83333.33333,118458.7814
4/14/2020,33968.25397,78991.59664,112959.8506
4/15/2020,34627.83172,82407.40741,117035.2391
4/16/2020,15401.30152,38461.53846,53862.83998
4/17/2020,13098.23678,30555.55556,43653.79233
4/18/2020,34767.02509,84878.04878,119645.0739
4/19/2020,33962.26415,79497.90795,113460.1721
4/20/2020,35664.33566,84653.46535,120317.801
4/21/2020,34113.71237,81132.07547,115245.7878
4/22/2020,33030.30303,83870.96774,116901.2708
4/23/2020,16708.22943,39240.50633,55948.73576
4/24/2020,11737.0892,29846.15385,41583.24305
4/25/2020,35251.79856,86255.92417,121507.7227
4/26/2020,35099.33775,84444.44444,119543.7822
4/27/2020,36842.10526,92718.4466,129560.5519
4/28/2020,31626.50602,73705.17928,105331.6853
4/29/2020,37373.73737,100529.1005,137902.8379
4/30/2020,19250,44409.93789,63659.93789
5/1/2020,13333.33333,31871.34503,45204.67836
5/2/2020,38339.92095,96373.05699,134712.9779
5/3/2020,37722.41993,90186.91589,127909.3358
5/4/2020,35081.96721,82894.73684,117976.7041
5/5/2020,38698.63014,94312.79621,133011.4263
5/6/2020,36769.75945,89855.07246,126624.8319
5/7/2020,17804.87805,40000,57804.87805
5/8/2020,14411.76471,35231.31673,49643.08143
