,Date,TransitApp-NYC,TransitApp-NYC_p
0,2022-06-14,-9,-9%
1,2022-06-13,-16,-16%
2,2022-06-12,-22,-22%
3,2022-06-11,-21,-21%
4,2022-06-10,-15,-15%
5,2022-06-09,-22,-22%
6,2022-06-08,-12,-12%
7,2022-06-07,-13,-13%
8,2022-06-06,-16,-16%
9,2022-06-05,-15,-15%
10,2022-06-04,-20,-20%
11,2022-06-03,-16,-16%
12,2022-06-02,-12,-12%
13,2022-06-01,-13,-13%
14,2022-05-31,-10,-10%
15,2022-05-30,-23,-23%
16,2022-05-29,-21,-21%
17,2022-05-28,-31,-31%
18,2022-05-27,-20,-20%
19,2022-05-26,-14,-14%
20,2022-05-25,-15,-15%
21,2022-05-24,-13,-13%
22,2022-05-23,-16,-16%
23,2022-05-22,-14,-14%
24,2022-05-21,-12,-12%
25,2022-05-20,-19,-19%
26,2022-05-19,-18,-18%
27,2022-05-18,-15,-15%
28,2022-05-17,-16,-16%
29,2022-05-16,-18,-18%
30,2022-05-15,-17,-17%
31,2022-05-14,-26,-26%
32,2022-05-13,-19,-19%
33,2022-05-12,-19,-19%
34,2022-05-11,-20,-20%
35,2022-05-10,-20,-20%
36,2022-05-09,-21,-21%
37,2022-05-08,-23,-23%
38,2022-05-07,-38,-38%
39,2022-05-06,-22,-22%
40,2022-05-05,-19,-19%
41,2022-05-04,-23,-23%
42,2022-05-03,-24,-24%
43,2022-05-02,-35,-35%
44,2022-05-01,-4,-4%
45,2022-04-30,-19,-19%
46,2022-04-29,-11,-11%
47,2022-04-28,-17,-17%
48,2022-04-27,-15,-15%
49,2022-04-26,-18,-18%
50,2022-04-25,-18,-18%
51,2022-04-24,-13,-13%
52,2022-04-23,-20,-20%
53,2022-04-22,-25,-25%
54,2022-04-21,-33,-33%
55,2022-04-20,-30,-30%
56,2022-04-19,-34,-34%
57,2022-04-18,-32,-32%
58,2022-04-17,-22,-22%
59,2022-04-16,-17,-17%
60,2022-04-15,-12,-12%
61,2022-04-14,6,6%
62,2022-04-13,8,8%
63,2022-04-12,21,21%
64,2022-04-11,6,6%
65,2022-04-10,-3,-3%
66,2022-04-09,-5,-5%
67,2022-04-08,7,7%
68,2022-04-07,-8,-8%
69,2022-04-06,-10,-10%
70,2022-04-05,-5,-5%
71,2022-04-04,0,0%
72,2022-04-03,-9,-9%
73,2022-04-02,-9,-9%
74,2022-04-01,1,1%
75,2022-03-31,-5,-5%
76,2022-03-30,-6,-6%
77,2022-03-29,-8,-8%
78,2022-03-28,-6,-6%
79,2022-03-27,-5,-5%
80,2022-03-26,-10,-10%
81,2022-03-25,-1,-1%
82,2022-03-24,-8,-8%
83,2022-03-23,-5,-5%
84,2022-03-22,-1,-1%
85,2022-03-21,5,5%
86,2022-03-20,-2,-2%
87,2022-03-19,-10,-10%
88,2022-03-18,7,7%
89,2022-03-17,-2,-2%
90,2022-03-16,-2,-2%
91,2022-03-15,0,0%
92,2022-03-14,-2,-2%
93,2022-03-13,-7,-7%
94,2022-03-12,-22,-22%
95,2022-03-11,-2,-2%
96,2022-03-10,-4,-4%
97,2022-03-09,-9,-9%
98,2022-03-08,-4,-4%
99,2022-03-07,5,5%
100,2022-03-06,-10,-10%
101,2022-03-05,-13,-13%
102,2022-03-04,-6,-6%
103,2022-03-03,-8,-8%
104,2022-03-02,-6,-6%
105,2022-03-01,-8,-8%
106,2022-02-28,1,1%
107,2022-02-27,-5,-5%
108,2022-02-26,-15,-15%
109,2022-02-25,-26,-26%
110,2022-02-24,-20,-20%
111,2022-02-23,-15,-15%
112,2022-02-22,-21,-21%
113,2022-02-21,-7,-7%
114,2022-02-20,-12,-12%
115,2022-02-19,-13,-13%
116,2022-02-18,-3,-3%
117,2022-02-17,0,0%
118,2022-02-16,-1,-1%
119,2022-02-15,-1,-1%
120,2022-02-14,0,0%
121,2022-02-13,-11,-11%
122,2022-02-12,-9,-9%
123,2022-02-11,-6,-6%
124,2022-02-10,-5,-5%
125,2022-02-09,-4,-4%
126,2022-02-08,-6,-6%
127,2022-02-07,-5,-5%
128,2022-02-06,-15,-15%
129,2022-02-05,-13,-13%
130,2022-02-04,-16,-16%
131,2022-02-03,-11,-11%
132,2022-02-02,-8,-8%
133,2022-02-01,-24,-24%
134,2022-01-31,-13,-13%
135,2022-01-30,-15,-15%
136,2022-01-29,-32,-32%
137,2022-01-28,-13,-13%
138,2022-01-27,-18,-18%
139,2022-01-26,-18,-18%
140,2022-01-25,-16,-16%
141,2022-01-24,-8,-8%
142,2022-01-23,-24,-24%
143,2022-01-22,-22,-22%
144,2022-01-21,-20,-20%
145,2022-01-20,-23,-23%
146,2022-01-19,-19,-19%
147,2022-01-18,-22,-22%
148,2022-01-17,-38,-38%
149,2022-01-16,-28,-28%
150,2022-01-15,-30,-30%
151,2022-01-14,-19,-19%
152,2022-01-13,-20,-20%
153,2022-01-12,-23,-23%
154,2022-01-11,-26,-26%
155,2022-01-10,-14,-14%
156,2022-01-09,-30,-30%
157,2022-01-08,-29,-29%
158,2022-01-07,-22,-22%
159,2022-01-06,-15,-15%
160,2022-01-05,-11,-11%
161,2022-01-04,-19,-19%
162,2022-01-03,-24,-24%
163,2022-01-02,-30,-30%
164,2022-01-01,-50,-50%
165,2021-12-31,-35,-35%
166,2021-12-30,-23,-23%
167,2021-12-29,-7,-7%
168,2021-12-28,-26,-26%
169,2021-12-27,-31,-31%
170,2021-12-26,-31,-31%
171,2021-12-25,-58,-58%
172,2021-12-24,-35,-35%
173,2021-12-23,-4,-4%
174,2021-12-22,21,21%
175,2021-12-21,-4,-4%
176,2021-12-20,-7,-7%
177,2021-12-19,-11,-11%
178,2021-12-18,-19,-19%
179,2021-12-17,-8,-8%
180,2021-12-16,-4,-4%
181,2021-12-15,3,3%
182,2021-12-14,-9,-9%
183,2021-12-13,-11,-11%
184,2021-12-12,-16,-16%
185,2021-12-11,-19,-19%
186,2021-12-10,-18,-18%
187,2021-12-09,-18,-18%
188,2021-12-08,-17,-17%
189,2021-12-07,-15,-15%
190,2021-12-06,-12,-12%
191,2021-12-05,-13,-13%
192,2021-12-04,-18,-18%
193,2021-12-03,-5,-5%
194,2021-12-02,-4,-4%
195,2021-12-01,-15,-15%
196,2021-11-30,-16,-16%
197,2021-11-29,-15,-15%
198,2021-11-28,-18,-18%
199,2021-11-27,-30,-30%
200,2021-11-26,-41,-41%
201,2021-11-25,-48,-48%
202,2021-11-24,-19,-19%
203,2021-11-23,-15,-15%
204,2021-11-22,-12,-12%
205,2021-11-21,-11,-11%
206,2021-11-20,-15,-15%
207,2021-11-19,-5,-5%
208,2021-11-18,0,0%
209,2021-11-17,-13,-13%
210,2021-11-16,-16,-16%
211,2021-11-15,-9,-9%
212,2021-11-14,-14,-14%
213,2021-11-13,-20,-20%
214,2021-11-12,-23,-23%
215,2021-11-11,-34,-34%
216,2021-11-10,-13,-13%
217,2021-11-09,-9,-9%
218,2021-11-08,-6,-6%
219,2021-11-07,-11,-11%
220,2021-11-06,-20,-20%
221,2021-11-05,-15,-15%
222,2021-11-04,-18,-18%
223,2021-11-03,-18,-18%
224,2021-11-02,-29,-29%
225,2021-11-01,-7,-7%
226,2021-10-31,-6,-6%
227,2021-10-30,-25,-25%
228,2021-10-29,-16,-16%
229,2021-10-28,-11,-11%
230,2021-10-27,-16,-16%
231,2021-10-26,-23,-23%
232,2021-10-25,-12,-12%
233,2021-10-24,-13,-13%
234,2021-10-23,-23,-23%
235,2021-10-22,-16,-16%
236,2021-10-21,-14,-14%
237,2021-10-20,-14,-14%
238,2021-10-19,-16,-16%
239,2021-10-18,-8,-8%
240,2021-10-17,-11,-11%
241,2021-10-16,-23,-23%
242,2021-10-15,-14,-14%
243,2021-10-14,-12,-12%
244,2021-10-13,-6,-6%
245,2021-10-12,-15,-15%
246,2021-10-11,-28,-28%
247,2021-10-10,-19,-19%
248,2021-10-09,-20,-20%
249,2021-10-08,-13,-13%
250,2021-10-07,-12,-12%
251,2021-10-06,-9,-9%
252,2021-10-05,-8,-8%
253,2021-10-04,0,0%
254,2021-10-03,-17,-17%
255,2021-10-02,-20,-20%
256,2021-10-01,-13,-13%
257,2021-09-30,-14,-14%
258,2021-09-29,-11,-11%
259,2021-09-28,-12,-12%
260,2021-09-27,-8,-8%
261,2021-09-26,-16,-16%
262,2021-09-25,-21,-21%
263,2021-09-24,-14,-14%
264,2021-09-23,-15,-15%
265,2021-09-22,-17,-17%
266,2021-09-21,-8,-8%
267,2021-09-20,-5,-5%
268,2021-09-19,-18,-18%
269,2021-09-18,-21,-21%
270,2021-09-17,-16,-16%
271,2021-09-16,-38,-38%
272,2021-09-15,-14,-14%
273,2021-09-14,-9,-9%
274,2021-09-13,-6,-6%
275,2021-09-12,-12,-12%
276,2021-09-11,-19,-19%
277,2021-09-10,-23,-23%
278,2021-09-09,-33,-33%
279,2021-09-08,-34,-34%
280,2021-09-07,-33,-33%
281,2021-09-06,-30,-30%
282,2021-09-05,-19,-19%
283,2021-09-04,-12,-12%
284,2021-09-03,-1,-1%
285,2021-09-02,27,27%
286,2021-09-01,-29,-29%
287,2021-08-31,-27,-27%
288,2021-08-30,-17,-17%
289,2021-08-29,-12,-12%
290,2021-08-28,-24,-24%
291,2021-08-27,-23,-23%
292,2021-08-26,-25,-25%
293,2021-08-25,-22,-22%
294,2021-08-24,-21,-21%
295,2021-08-23,-26,-26%
296,2021-08-22,-41,-41%
297,2021-08-21,-17,-17%
298,2021-08-20,-20,-20%
299,2021-08-19,-25,-25%
300,2021-08-18,-22,-22%
301,2021-08-17,-24,-24%
302,2021-08-16,-22,-22%
303,2021-08-15,-18,-18%
304,2021-08-14,-20,-20%
305,2021-08-13,-16,-16%
306,2021-08-12,-21,-21%
307,2021-08-11,-18,-18%
308,2021-08-10,-22,-22%
309,2021-08-09,-24,-24%
310,2021-08-08,-25,-25%
311,2021-08-07,-20,-20%
312,2021-08-06,-22,-22%
313,2021-08-05,-28,-28%
314,2021-08-04,-25,-25%
315,2021-08-03,-27,-27%
316,2021-08-02,-26,-26%
317,2021-08-01,-27,-27%
318,2021-07-31,-23,-23%
319,2021-07-30,-27,-27%
320,2021-07-29,-32,-32%
321,2021-07-28,-24,-24%
322,2021-07-27,-23,-23%
323,2021-07-26,-21,-21%
324,2021-07-25,-27,-27%
325,2021-07-24,-25,-25%
326,2021-07-23,-30,-30%
327,2021-07-22,-28,-28%
328,2021-07-21,-32,-32%
329,2021-07-20,-32,-32%
330,2021-07-19,-30,-30%
331,2021-07-18,-26,-26%
332,2021-07-17,-30,-30%
333,2021-07-16,-28,-28%
334,2021-07-15,-27,-27%
335,2021-07-14,-32,-32%
336,2021-07-13,-33,-33%
337,2021-07-12,-32,-32%
338,2021-07-11,-28,-28%
339,2021-07-10,-27,-27%
340,2021-07-09,-31,-31%
341,2021-07-08,-24,-24%
342,2021-07-07,-30,-30%
343,2021-07-06,-34,-34%
344,2021-07-05,-37,-37%
345,2021-07-04,-31,-31%
346,2021-07-03,-42,-42%
347,2021-07-02,-36,-36%
348,2021-07-01,-36,-36%
349,2021-06-30,-38,-38%
350,2021-06-29,-32,-32%
351,2021-06-28,-31,-31%
352,2021-06-27,-18,-18%
353,2021-06-26,-22,-22%
354,2021-06-25,-27,-27%
355,2021-06-24,-27,-27%
356,2021-06-23,-34,-34%
357,2021-06-22,-37,-37%
358,2021-06-21,-32,-32%
359,2021-06-20,-22,-22%
360,2021-06-19,-27,-27%
361,2021-06-18,-33,-33%
362,2021-06-17,-33,-33%
363,2021-06-16,-37,-37%
364,2021-06-15,-34,-34%
365,2021-06-14,-37,-37%
366,2021-06-13,-25,-25%
367,2021-06-12,-31,-31%
368,2021-06-11,-37,-37%
369,2021-06-10,-32,-32%
370,2021-06-09,-35,-35%
371,2021-06-08,-36,-36%
