Date,TransitApp-KCM-p,TransitApp-KCM
2/15/2020 0:00,6%,6
2/16/2020 0:00,3%,3
2/17/2020 0:00,-9%,-9
2/18/2020 0:00,9%,9
2/19/2020 0:00,-3%,-3
2/20/2020 0:00,-3%,-3
2/21/2020 0:00,-1%,-1
2/22/2020 0:00,-6%,-6
2/23/2020 0:00,-5%,-5
2/24/2020 0:00,8%,8
2/25/2020 0:00,-1%,-1
2/26/2020 0:00,0%,0
2/27/2020 0:00,2%,2
2/28/2020 0:00,3%,3
2/29/2020 0:00,-1%,-1
3/1/2020 0:00,-5%,-5
3/2/2020 0:00,-11%,-11
3/3/2020 0:00,-14%,-14
3/4/2020 0:00,-16%,-16
3/5/2020 0:00,-26%,-26
3/6/2020 0:00,-29%,-29
3/7/2020 0:00,-33%,-33
3/8/2020 0:00,-29%,-29
3/9/2020 0:00,-33%,-33
3/10/2020 0:00,-37%,-37
3/11/2020 0:00,-37%,-37
3/12/2020 0:00,-47%,-47
3/13/2020 0:00,-49%,-49
3/14/2020 0:00,-48%,-48
3/15/2020 0:00,-47%,-47
3/16/2020 0:00,-62%,-62
3/17/2020 0:00,-67%,-67
3/18/2020 0:00,-68%,-68
3/19/2020 0:00,-70%,-70
3/20/2020 0:00,-69%,-69
3/21/2020 0:00,-67%,-67
3/22/2020 0:00,-69%,-69
3/23/2020 0:00,-72%,-72
3/24/2020 0:00,-73%,-73
3/25/2020 0:00,-78%,-78
3/26/2020 0:00,-80%,-80
3/27/2020 0:00,-79%,-79
3/28/2020 0:00,-77%,-77
3/29/2020 0:00,-75%,-75
3/30/2020 0:00,-80%,-80
3/31/2020 0:00,-81%,-81
4/1/2020 0:00,-80%,-80
4/2/2020 0:00,-79%,-79
4/3/2020 0:00,-80%,-80
4/4/2020 0:00,-78%,-78
4/5/2020 0:00,-76%,-76
4/6/2020 0:00,-79%,-79
4/7/2020 0:00,-82%,-82
4/8/2020 0:00,-81%,-81
4/9/2020 0:00,-81%,-81
4/10/2020 0:00,-80%,-80
4/11/2020 0:00,-77%,-77
4/12/2020 0:00,-74%,-74
4/13/2020 0:00,-81%,-81
4/14/2020 0:00,-82%,-82
4/15/2020 0:00,-82%,-82
4/16/2020 0:00,-82%,-82
4/17/2020 0:00,-81%,-81
4/18/2020 0:00,-78%,-78
4/19/2020 0:00,-76%,-76
4/20/2020 0:00,-79%,-79
4/21/2020 0:00,-81%,-81
4/22/2020 0:00,-84%,-84
4/23/2020 0:00,-82%,-82
4/24/2020 0:00,-82%,-82
4/25/2020 0:00,-78%,-78
4/26/2020 0:00,-73%,-73
4/27/2020 0:00,-81%,-81
4/28/2020 0:00,-81%,-81
4/29/2020 0:00,-81%,-81
4/30/2020 0:00,-82%,-82
5/1/2020 0:00,-80%,-80
5/2/2020 0:00,-79%,-79
5/3/2020 0:00,-75%,-75
5/4/2020 0:00,-81%,-81
5/5/2020 0:00,-81%,-81
5/6/2020 0:00,-82%,-82
5/7/2020 0:00,-81%,-81
5/8/2020 0:00,-80%,-80
5/9/2020 0:00,-74%,-74
5/10/2020 0:00,-74%,-74
5/11/2020 0:00,-81%,-81
5/12/2020 0:00,-81%,-81
5/13/2020 0:00,-80%,-80
5/14/2020 0:00,-80%,-80
5/15/2020 0:00,-80%,-80
5/16/2020 0:00,-75%,-75
5/17/2020 0:00,-72%,-72
5/18/2020 0:00,-77%,-77
5/19/2020 0:00,-80%,-80
5/20/2020 0:00,-80%,-80
5/21/2020 0:00,-81%,-81
5/22/2020 0:00,-79%,-79
5/23/2020 0:00,-76%,-76
5/24/2020 0:00,-73%,-73
5/25/2020 0:00,-81%,-81
5/26/2020 0:00,-79%,-79
5/27/2020 0:00,-78%,-78
5/28/2020 0:00,-80%,-80
5/29/2020 0:00,-77%,-77
5/30/2020 0:00,-72%,-72
5/31/2020 0:00,-74%,-74
6/1/2020 0:00,-74%,-74
6/2/2020 0:00,-79%,-79
6/3/2020 0:00,-79%,-79
6/4/2020 0:00,-81%,-81
6/5/2020 0:00,-79%,-79
6/6/2020 0:00,-71%,-71
6/7/2020 0:00,-74%,-74
6/8/2020 0:00,-78%,-78
6/9/2020 0:00,-80%,-80
6/10/2020 0:00,-79%,-79
6/11/2020 0:00,-79%,-79
6/12/2020 0:00,-75%,-75
6/13/2020 0:00,-71%,-71
6/14/2020 0:00,-72%,-72
6/15/2020 0:00,-77%,-77
6/16/2020 0:00,-77%,-77
6/17/2020 0:00,-76%,-76
6/18/2020 0:00,-74%,-74
6/19/2020 0:00,-72%,-72
6/20/2020 0:00,-68%,-68
6/21/2020 0:00,-69%,-69
6/22/2020 0:00,-75%,-75
6/23/2020 0:00,-75%,-75
6/24/2020 0:00,-74%,-74
6/25/2020 0:00,-68%,-68
6/26/2020 0:00,-68%,-68
6/27/2020 0:00,-67%,-67
6/28/2020 0:00,-67%,-67
6/29/2020 0:00,-74%,-74
6/30/2020 0:00,-75%,-75
7/1/2020 0:00,-75%,-75
7/2/2020 0:00,-72%,-72
7/3/2020 0:00,-68%,-68
7/4/2020 0:00,-70%,-70
7/5/2020 0:00,-68%,-68
7/6/2020 0:00,-74%,-74
7/7/2020 0:00,-74%,-74
7/8/2020 0:00,-75%,-75
7/9/2020 0:00,-71%,-71
7/10/2020 0:00,-71%,-71
7/11/2020 0:00,-64%,-64
7/12/2020 0:00,-66%,-66
7/13/2020 0:00,-73%,-73
7/14/2020 0:00,-74%,-74
7/15/2020 0:00,-73%,-73
7/16/2020 0:00,-74%,-74
7/17/2020 0:00,-75%,-75
7/18/2020 0:00,-64%,-64
7/19/2020 0:00,-64%,-64
7/20/2020 0:00,-71%,-71
7/21/2020 0:00,-73%,-73
7/22/2020 0:00,-73%,-73
7/23/2020 0:00,-73%,-73
7/24/2020 0:00,-73%,-73
7/25/2020 0:00,-64%,-64
7/26/2020 0:00,-61%,-61
7/27/2020 0:00,-71%,-71
7/28/2020 0:00,-73%,-73
7/29/2020 0:00,-72%,-72
7/30/2020 0:00,-73%,-73
7/31/2020 0:00,-71%,-71
8/1/2020 0:00,-61%,-61
8/2/2020 0:00,-61%,-61
8/3/2020 0:00,-72%,-72
8/4/2020 0:00,-73%,-73
8/5/2020 0:00,-73%,-73
8/6/2020 0:00,-73%,-73
8/7/2020 0:00,-70%,-70
8/8/2020 0:00,-62%,-62
8/9/2020 0:00,-61%,-61
8/10/2020 0:00,-72%,-72
8/11/2020 0:00,-71%,-71
8/12/2020 0:00,-72%,-72
8/13/2020 0:00,-71%,-71
8/14/2020 0:00,-69%,-69
8/15/2020 0:00,-59%,-59
8/16/2020 0:00,-58%,-58
8/17/2020 0:00,-70%,-70
8/18/2020 0:00,-69%,-69
8/19/2020 0:00,-71%,-71
8/20/2020 0:00,-70%,-70
8/21/2020 0:00,-70%,-70
8/22/2020 0:00,-56%,-56
8/23/2020 0:00,-61%,-61
8/24/2020 0:00,-66%,-66
8/25/2020 0:00,-71%,-71
8/26/2020 0:00,-71%,-71
8/27/2020 0:00,-70%,-70
8/28/2020 0:00,-67%,-67
8/29/2020 0:00,-58%,-58
8/30/2020 0:00,-60%,-60
8/31/2020 0:00,-66%,-66
9/1/2020 0:00,-69%,-69
9/2/2020 0:00,-70%,-70
9/3/2020 0:00,-69%,-69
9/4/2020 0:00,-67%,-67
9/5/2020 0:00,-61%,-61
9/6/2020 0:00,-56%,-56
9/7/2020 0:00,-68%,-68
9/8/2020 0:00,-70%,-70
9/9/2020 0:00,-71%,-71
9/10/2020 0:00,-70%,-70
9/11/2020 0:00,-72%,-72
9/12/2020 0:00,-65%,-65
9/13/2020 0:00,-62%,-62
9/14/2020 0:00,-74%,-74
9/15/2020 0:00,-73%,-73
9/16/2020 0:00,-74%,-74
9/17/2020 0:00,-74%,-74
9/18/2020 0:00,-72%,-72
9/19/2020 0:00,-60%,-60
9/20/2020 0:00,-54%,-54
9/21/2020 0:00,-70%,-70
9/22/2020 0:00,-72%,-72
9/23/2020 0:00,-75%,-75
9/24/2020 0:00,-74%,-74
9/25/2020 0:00,-73%,-73
9/26/2020 0:00,-58%,-58
9/27/2020 0:00,-57%,-57
9/28/2020 0:00,-73%,-73
9/29/2020 0:00,-73%,-73
9/30/2020 0:00,-74%,-74
10/1/2020 0:00,-75%,-75
10/2/2020 0:00,-74%,-74
10/3/2020 0:00,-61%,-61
10/4/2020 0:00,-64%,-64
10/5/2020 0:00,-74%,-74
10/6/2020 0:00,-74%,-74
10/7/2020 0:00,-75%,-75
10/8/2020 0:00,-76%,-76
10/9/2020 0:00,-73%,-73
10/10/2020 0:00,-66%,-66
10/11/2020 0:00,-67%,-67
10/12/2020 0:00,-76%,-76
10/13/2020 0:00,-75%,-75
10/14/2020 0:00,-75%,-75
10/15/2020 0:00,-75%,-75
10/16/2020 0:00,-74%,-74
10/17/2020 0:00,-63%,-63
10/18/2020 0:00,-62%,-62
10/19/2020 0:00,-75%,-75
10/20/2020 0:00,-76%,-76
10/21/2020 0:00,-76%,-76
10/22/2020 0:00,-76%,-76
10/23/2020 0:00,-76%,-76
10/24/2020 0:00,-62%,-62
10/25/2020 0:00,-64%,-64
10/26/2020 0:00,-76%,-76
10/27/2020 0:00,-77%,-77
10/28/2020 0:00,-76%,-76
10/29/2020 0:00,-77%,-77
10/30/2020 0:00,-74%,-74
10/31/2020 0:00,-61%,-61
11/1/2020 0:00,-61%,-61
11/2/2020 0:00,-72%,-72
11/3/2020 0:00,-78%,-78
11/4/2020 0:00,-76%,-76
11/5/2020 0:00,-78%,-78
11/6/2020 0:00,-76%,-76
11/7/2020 0:00,-62%,-62
11/8/2020 0:00,-63%,-63
11/9/2020 0:00,-75%,-75
11/10/2020 0:00,-76%,-76
11/11/2020 0:00,-77%,-77
11/12/2020 0:00,-76%,-76
11/13/2020 0:00,-74%,-74
11/14/2020 0:00,-64%,-64
11/15/2020 0:00,-64%,-64
11/16/2020 0:00,-76%,-76
11/17/2020 0:00,-77%,-77
11/18/2020 0:00,-77%,-77
11/19/2020 0:00,-72%,-72
11/20/2020 0:00,-72%,-72
11/21/2020 0:00,-61%,-61
11/22/2020 0:00,-66%,-66
11/23/2020 0:00,-76%,-76
11/24/2020 0:00,-77%,-77
11/25/2020 0:00,-78%,-78
11/26/2020 0:00,-82%,-82
11/27/2020 0:00,-76%,-76
11/28/2020 0:00,-66%,-66
11/29/2020 0:00,-64%,-64
11/30/2020 0:00,-75%,-75
12/1/2020 0:00,-76%,-76
12/2/2020 0:00,-75%,-75
12/3/2020 0:00,-71%,-71
12/4/2020 0:00,-70%,-70
12/5/2020 0:00,-61%,-61
12/6/2020 0:00,-62%,-62
12/7/2020 0:00,-75%,-75
12/8/2020 0:00,-77%,-77
12/9/2020 0:00,-77%,-77
12/10/2020 0:00,-76%,-76
12/11/2020 0:00,-74%,-74
12/12/2020 0:00,-62%,-62
12/13/2020 0:00,-66%,-66
12/14/2020 0:00,-73%,-73
12/15/2020 0:00,-72%,-72
12/16/2020 0:00,-69%,-69
12/17/2020 0:00,-73%,-73
12/18/2020 0:00,-72%,-72
12/19/2020 0:00,-64%,-64
12/20/2020 0:00,-63%,-63
12/21/2020 0:00,-70%,-70
12/22/2020 0:00,-65%,-65
12/23/2020 0:00,-55%,-55
12/24/2020 0:00,-75%,-75
12/25/2020 0:00,-87%,-87
12/26/2020 0:00,-68%,-68
12/27/2020 0:00,-65%,-65
12/28/2020 0:00,-74%,-74
12/29/2020 0:00,-70%,-70
12/30/2020 0:00,-66%,-66
12/31/2020 0:00,-73%,-73
1/1/2021 0:00,-82%,-82
1/2/2021 0:00,-67%,-67
1/3/2021 0:00,-67%,-67
1/4/2021 0:00,-75%,-75
1/5/2021 0:00,-77%,-77
1/6/2021 0:00,-75%,-75
1/7/2021 0:00,-78%,-78
1/8/2021 0:00,-76%,-76
1/9/2021 0:00,-64%,-64
1/10/2021 0:00,-64%,-64
1/11/2021 0:00,-78%,-78
1/12/2021 0:00,-80%,-80
1/13/2021 0:00,-77%,-77
1/14/2021 0:00,-79%,-79
1/15/2021 0:00,-77%,-77
1/16/2021 0:00,-65%,-65
1/17/2021 0:00,-64%,-64
1/18/2021 0:00,-77%,-77
1/19/2021 0:00,-78%,-78
1/20/2021 0:00,-77%,-77
1/21/2021 0:00,-78%,-78
1/22/2021 0:00,-76%,-76
1/23/2021 0:00,-63%,-63
1/24/2021 0:00,-66%,-66
1/25/2021 0:00,-74%,-74
1/26/2021 0:00,-78%,-78
1/27/2021 0:00,-79%,-79
1/28/2021 0:00,-79%,-79
1/29/2021 0:00,-76%,-76
1/30/2021 0:00,-66%,-66
1/31/2021 0:00,-66%,-66
2/1/2021 0:00,-76%,-76
2/2/2021 0:00,-77%,-77
2/3/2021 0:00,-76%,-76
2/4/2021 0:00,-77%,-77
2/5/2021 0:00,-75%,-75
2/6/2021 0:00,-64%,-64
2/7/2021 0:00,-63%,-63
2/8/2021 0:00,-74%,-74
2/9/2021 0:00,-75%,-75
2/10/2021 0:00,-75%,-75
2/11/2021 0:00,-77%,-77
2/12/2021 0:00,-75%,-75
2/13/2021 0:00,-44%,-44
2/14/2021 0:00,-53%,-53
2/15/2021 0:00,-69%,-69
2/16/2021 0:00,-71%,-71
2/17/2021 0:00,-73%,-73
2/18/2021 0:00,-76%,-76
2/19/2021 0:00,-73%,-73
2/20/2021 0:00,-62%,-62
2/21/2021 0:00,-60%,-60
2/22/2021 0:00,-71%,-71
2/23/2021 0:00,-74%,-74
2/24/2021 0:00,-74%,-74
2/25/2021 0:00,-75%,-75
2/26/2021 0:00,-72%,-72
2/27/2021 0:00,-64%,-64
2/28/2021 0:00,-61%,-61
3/1/2021 0:00,-73%,-73
3/2/2021 0:00,-73%,-73
3/3/2021 0:00,-72%,-72
3/4/2021 0:00,-74%,-74
3/5/2021 0:00,-73%,-73
3/6/2021 0:00,-63%,-63
3/7/2021 0:00,-62%,-62
3/8/2021 0:00,-72%,-72
3/9/2021 0:00,-72%,-72
3/10/2021 0:00,-72%,-72
3/11/2021 0:00,-72%,-72
3/12/2021 0:00,-69%,-69
3/13/2021 0:00,-61%,-61
3/14/2021 0:00,-65%,-65
3/15/2021 0:00,-74%,-74
3/16/2021 0:00,-73%,-73
3/17/2021 0:00,-71%,-71
3/18/2021 0:00,-74%,-74
3/19/2021 0:00,-71%,-71
